id,spacegroup,number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,lattice_angle_alpha_degree,lattice_angle_beta_degree,lattice_angle_gamma_degree,formation_energy_ev_natom,bandgap_energy_ev,vol,n_ga,n_al,n_in,n_o,mass_al,mass_ga,mass_in,mass_o,density,z_al,z_ga,z_in,z_o,z_tot,r_ene,k_ene,p_ene,eta,r_gao_ave,r_gao_min,r_alo_ave,r_alo_min,r_ino_ave,r_ino_min,inv_r_gao_sum,inv2_r_gao_sum,inv_r_alo_sum,inv2_r_alo_sum,inv_r_ino_sum,inv2_r_ino_sum,mass_tot,inv2_r_sum,inv_r_sum,r_min,r_mean,ngao_mean,nalo_mean,nino_mean,n_mean,coul,rmean,cgaga,rgaga,calal,ralal,cinin,rinin,coo,roo,cgaal,rgaal,cgain,rgain,cgao,rgao,calin,ralin,calo,ralo,cino,rino
11,167,60.0,0.5833,0.4167,0.0,9.8307,4.915,13.3346,89.9909,90.0103,120.0011,0.0581,3.8723,557.9737490762748,10,14,0,36,377.7415404,697.23,0.0,575.9784,2.958830846671814,182,310,0,288,780,182588.1036013617,31075.31312160438,-46646.04101426208,0.16166628009042153,1.9825029390980973,1.9042966337908347,1.9794524503900224,1.9042966337908347,inf,inf,17.171214071147713,8.682860475620457,27.31425054788571,13.833356937801213,0.0,0.0,1650.9499404,22.516217413421675,44.48546461903342,1.9042966337908347,1.9806310482999607,0.9444444444444444,1.5,0.0,2.4444444444444446,-135.09730448053006,1.9806310482999607,17.736899693073703,3.3303115299259285,29.73716290262584,3.3613747191874204,0.0,inf,59.30022661676893,2.995749805680005,13.766436990225944,3.386621090811305,0.0,inf,-52.09716285372274,1.9825029390980973,0.0,inf,-83.00014162680729,1.9794524503900224,0.0,inf
12,194,80.0,0.5938,0.4062,0.0,6.1935,6.1934,23.6522,90.0189,89.99799999999998,120.0021,0.259,2.8805,785.7026665336897,13,19,0,48,512.6492334,906.399,0.0,767.9712,2.7835204417067145,247,403,0,384,1034,589276.0227889271,2101149.0315521867,-57406.970460895274,0.1416346078273166,2.1329397374368884,1.7876541419364818,2.1746703866362886,1.7876541419364815,inf,inf,24.667261842571424,12.227764981683945,40.303421145430754,19.591636914487164,0.0,0.0,2187.0194334000007,31.819401896171108,64.97068298800218,1.7876541419364815,2.159021393186514,0.8541666666666666,1.3958333333333333,0.0,2.25,-171.69667400480066,1.952262327171821,11.092925783970838,3.262147660432041,26.52541823502269,3.3094777783525315,0.0,inf,74.57282759249816,2.9521392550817382,36.11151359913394,3.288348749878337,0.0,inf,-66.50239797145151,1.9320663446618327,0.0,inf,-105.19427603334913,1.9646210627376344,0.0,inf
13,33,40.0,0.8125,0.1875,0.0,4.9323,8.4765,9.1059,90.0044,90.0024,90.0015,0.0535,3.9039,380.7053020395308,3,13,0,24,350.7600018,209.169,0.0,383.9856,2.479383913865187,169,93,0,192,454,55249.305625199675,7445.329391304247,-22944.317817007945,0.18222400479788084,1.8792348367465443,1.7661403180541595,1.952136114508649,1.7559544980907364,inf,inf,4.799019278342732,2.564161136501838,23.16362773341229,11.978960303540285,0.0,0.0,943.9146018,14.543121440042126,27.962647011755013,1.7559544980907364,1.9399859015482992,0.375,1.875,0.0,2.25,-87.2587286402527,1.9399859015482992,0.9984530100613184,3.0023231807086654,19.86974401813985,3.1672880845627684,0.0,inf,37.98127354550793,2.9873080145740145,11.935818122824692,3.2681372569860394,0.0,inf,-15.384966819011032,1.8792348367465443,0.0,inf,-71.8737618212417,1.9521361145086509,0.0,inf
14,206,80.0,0.125,0.875,0.0,9.3513,9.3512,9.3507,90.0059,90.0051,89.9933,0.078,2.5371,817.6801447853651,28,4,0,48,107.9261544,1952.244,0.0,767.9712,3.4587379581564446,52,868,0,384,1304,783726.5089290282,74914.26286337628,-92491.53012406142,0.13791745493808386,2.025710046798175,1.971021736100364,1.9972078779124625,1.997127315019508,inf,inf,56.29521551601336,27.808775210041823,12.016776179045793,6.016787918730778,0.0,0.0,2828.1413544,33.8255631287726,68.31199169505915,1.971021736100364,2.0207531478615293,2.375,0.5,0.0,2.875,-202.9533787726356,2.0207531478615293,62.432468499138295,3.264370304281793,0.0,inf,0.0,inf,98.20183493736721,3.0586153951597,20.343642790233194,3.2064916537566948,0.0,inf,-166.85265126025098,2.025710046798175,0.0,inf,-36.10072751238466,1.9972078779124625,0.0,inf
15,194,80.0,0.375,0.125,0.5,6.6318,6.6314,24.4597,90.0152,90.0071,119.9918,0.39,0.9251,931.6531314191268,4,12,16,48,323.7784632000001,278.892,1837.088,767.9712,3.4430514480361087,156,124,784,384,1448,1813461.7131351302,2535186.7192261005,-136806.86950981632,0.12642667136416375,2.046657382051164,1.9142766341589432,2.0839956755609266,1.914276634158943,2.046985896261036,1.914276634158943,7.353297140214863,3.6165413901591625,20.216673450311166,9.76237129078727,24.988686368478593,12.279717860548642,3207.7296632,25.65863054149507,52.55865695900462,1.914276634158943,2.0613329612374,0.3125,0.875,1.0625,2.25,-153.95178324897046,2.0613329612374,0.6915686575606522,3.6074772709142833,8.932853784378164,3.4861499987449687,12.6457540010465,3.4873728444705243,62.834699647769185,3.0177266800117217,8.807592811202849,3.5100960590359365,8.241552228172647,3.475059441787048,-21.699248340954977,2.046657382051164,26.619194929675178,3.4490566785947125,-58.57422774472361,2.0839956755609266,-73.67830716329185,2.046985896261036
16,12,80.0,0.4375,0.1875,0.375,24.3679,6.2545,6.1721,89.9997,104.8418,90.0001,0.166,1.5852,909.2995296160013,6,14,12,48,377.7415404,418.338,1377.816,767.9712,3.235310966939964,182,186,588,384,1340,448566.56269522477,49952.370827744715,-116532.11974832506,0.12849026499572466,1.984513101803291,1.8700951442328904,1.9778149247255328,1.8700951442328908,2.020014225522023,1.8700951442328908,8.587100895014661,4.3477099605208736,26.359245139621468,13.394814893144426,23.32144126749629,11.598710807018414,2941.8667404,29.34123566068371,58.267787302132426,1.8700951442328904,1.9958945466889555,0.3541666666666667,1.0833333333333333,0.9791666666666666,2.4166666666666665,-176.04741396410228,1.995894546688955,2.966298709495528,3.4999853510237284,17.878378152874525,3.4208021657143486,10.636186678552301,3.3352003134834884,73.70029521322721,3.0930903882627234,12.068079741643679,3.3676327017879832,7.411466442105271,3.3208155228748093,-26.08625976312525,1.984513101803291,22.657725722111827,3.3522778165369886,-80.36888935886655,1.9778149247255328,-69.59226484211048,2.020014225522024
17,194,80.0,0.9062,0.0625,0.0312,6.1239,6.1235,23.4577,90.0089,90.00299999999999,120.0051,0.2544,2.2913,761.7659226102098,2,29,1,48,782.4646194000003,139.446,114.818,767.9712,2.369100225980379,377,62,49,384,872,243949.3670604737,757762.9671513331,-37984.315257501316,0.1445863103575346,2.311642586908172,2.0354064190261565,2.1294178206468746,1.7674344566735134,1.8449913841641288,1.7674344566735136,5.784951496454308,2.6367226471597123,57.65611935221325,28.64005909726005,2.1718509346000157,1.1813077666909455,1804.6998194000007,32.4580895111107,65.61292178326758,1.7674344566735134,2.1384708810547117,0.1875,1.9791666666666667,0.08333333333333333,2.25,-175.20882987793385,1.9326857116326943,0.0,inf,57.40023411325822,3.2563205476589454,0.0,inf,76.10020968159466,2.9223515082352582,11.902410049564415,3.268647624047788,0.7676165595679609,3.4241208739302835,-13.02894914171107,2.035833213357681,5.1836091265117155,3.2427277399404204,-155.0920341360771,1.9266062357837408,-7.0878466001456735,1.8449913841641288
18,12,80.0,0.0,0.4062,0.5938,24.765,6.5014,6.4860000000000015,90.0003,105.241,90.0,0.0503,1.1844,1007.5633115130677,13,0,19,48,0.0,906.399,2181.542,767.9712,3.826967651501264,0,403,931,384,1718,449961.85589571117,53157.324260375164,-172184.76098986965,0.11999412200102548,1.9661413761342217,1.9300196622679888,inf,inf,2.105793757725356,1.9300196622679908,17.302081732187222,8.809459114263008,0.0,0.0,39.05847938030885,18.660338588628207,3855.9122,27.46979770289121,56.36056111249607,1.9300196622679888,2.064861163121058,0.7083333333333334,0.0,1.7083333333333333,2.4166666666666665,-164.81878621734728,2.064861163121058,6.628759506945015,3.53805097973234,0.0,inf,22.74834497844343,3.339161833772248,69.03111158050116,3.1892385624282023,0.0,inf,39.663735388293134,3.553065889858194,-52.85675468557803,1.9661413761342217,0.0,inf,0.0,inf,-111.96203153176926,2.105793757725356
19,167,30.0,0.4167,0.3333,0.25,5.0862,5.0858,13.6981,89.9942,90.0065,120.001,0.1919,2.5669999999999997,306.8593037887638,4,5,3,18,134.907693,278.892,344.454,287.9892,3.4095198681680317,65,124,147,144,480,119606.01726790033,32178.74151435649,-46332.30043923616,0.1911579780072122,2.0353658671442107,1.9764221568572649,2.050078939725152,1.9763218762935304,2.05217894583335,1.976321866797608,4.917237701511804,2.419946647744297,7.810711872504972,3.8159895043173178,6.8272702165717885,3.332005764796121,1046.242893,9.567941916857736,19.555219790588566,1.976321866797608,2.047135673717786,0.5555555555555556,0.8888888888888888,0.7777777777777778,2.2222222222222223,-57.40765150114642,2.0471356737177864,3.5785955751528187,3.231579333479143,4.995463505399552,3.3454603559150367,1.1490440330024534,2.7986779029605127,19.280450793759478,2.8144913521827872,1.7995978237906352,3.2590679076317546,4.4966480579620836,3.499027606615392,-14.519679886465779,2.0353658671442107,4.7427767221417465,3.4247983141496854,-22.895937025903912,2.050078939725152,-19.992034588776725,2.05217894583335
20,12,20.0,0.25,0.25,0.5,12.2649,3.1889,6.3388,90.0,105.0943,90.0001,0.2063,1.5596,239.36661798834805,2,2,4,12,53.9630772,139.446,459.272,191.9928,3.5287872816129995,26,62,196,96,380,38186.00486208394,9525.622703904866,-45557.0105647904,0.1970663545593394,2.018471431350927,1.8990327994316023,1.9425442534214592,1.8990303979409149,2.0573973822244427,1.8990303979409155,2.9800892771594807,1.4837581800943456,2.0601888525488423,1.061626933596096,5.847431933189975,2.856467675612372,844.6738772,5.401852789302814,10.887710062898297,1.8990303979409149,2.0258988267493048,0.5,0.3333333333333333,1.0,1.8333333333333333,-32.41111673581688,2.0258988267493048,0.7951905128523619,3.364229848683582,0.0,inf,1.5195040396027566,3.4694377522858963,10.407722944671516,3.1724925208339334,1.2649591957918769,3.773245046131393,3.158476325769753,3.391710938858977,-8.902549080566072,2.018471431350928,3.083593298788834,3.42871785602409,-6.369761601576574,1.9425442534214592,-17.138806053674234,2.0573973822244427
21,33,80.0,0.0,0.375,0.625,10.9377,9.3249,9.9463,89.9988,89.99799999999998,90.0,0.0918,1.1365,1014.4525645756648,12,0,20,48,0.0,836.6759999999997,2296.36,767.9712,3.845430862143616,0,372,980,384,1736,1222063.7487949168,373823.91784742323,-175837.37161997225,0.1194502435233822,2.0582941630893408,1.9420773646281129,inf,inf,2.1693507456014567,1.9420794743982568,19.987890519639706,9.77495542736897,0.0,0.0,37.51407039464635,17.452824655146085,3901.0072,27.22778008251505,57.50196091428606,1.9420773646281129,2.1320284514785324,0.8333333333333334,0.0,1.5833333333333333,2.4166666666666665,-157.7725964098949,2.1110918330200144,11.43993230197479,3.4436976690689027,0.0,inf,25.126726081522488,3.5011389470075462,70.98389813332751,3.103741305957803,0.0,inf,27.784316208793136,3.5150606878317188,-57.717419132022066,2.046330286776768,0.0,inf,0.0,inf,-100.05517727787287,2.1451768573585657
22,167,30.0,0.5833,0.4167,0.0,4.9153,4.915,13.3346,89.9909,90.0103,120.0011,0.0566,3.9691,278.9840366234971,5,7,0,18,188.8707702,348.615,0.0,287.9892,2.958860944843306,91,155,0,144,390,62652.24219563077,19251.31558679879,-26179.29413863828,0.20368813065285246,1.9820860170733905,1.9127053289972744,1.9844882266432904,1.9127053206940727,inf,inf,8.584225303182452,4.3384202249329435,11.59973144460241,5.855192172439235,0.0,0.0,825.4749702,10.193612397372178,20.183956747784862,1.9127053206940727,1.983467287576083,0.9444444444444444,1.2777777777777777,0.0,2.2222222222222223,-61.161674384233066,1.983467287576083,2.781806042741878,3.617469702012208,7.8594767775230325,3.4546913116769984,0.0,inf,23.15989211187141,2.9728069832346184,14.35281551914346,3.247490769413248,0.0,inf,-26.030521349597656,1.9820860170733905,0.0,inf,-35.13115303463541,1.9844882266432904,0.0,inf
23,167,30.0,0.6667,0.0,0.3333,5.0674,5.0672,13.6668,89.9903,90.0102,120.0016,0.2027,2.9122,303.9090919027929,0,8,4,18,215.8523088,0.0,459.272,287.9892,3.1690842243971336,104,0,196,144,444,162068.7118551331,72827.06378273615,-43146.34583179961,0.19239310177552504,inf,inf,2.051473102683205,1.9611784161099468,2.0314105587395717,1.9611003636781328,0.0,0.0,13.663694965930455,6.675183175622784,5.91428253834777,2.9183729999646078,963.1135088,9.593556175587393,19.577977504278227,1.9611003636781328,2.0454543395001155,0.0,1.5555555555555556,0.6666666666666666,2.2222222222222223,-57.56133705352436,2.0454543395001155,0.0,inf,11.132006154501026,3.440645967441672,1.145892441320532,3.9633673303191896,19.545663686081525,2.797444085317337,0.0,inf,0.0,inf,0.0,inf,11.291671139803007,3.3900878864050528,-40.0510990537367,2.0514731026832056,-17.510237999787652,2.031410558739572
24,194,80.0,0.1562,0.5625,0.2812,6.5405,6.5403,24.3429,90.0046,90.0031,119.9922,0.2753,1.1811,901.8736361368144,18,5,9,48,134.907693,1255.014,1033.362,767.9712,3.538472314890781,65,558,441,384,1448,2116583.61757826,3899567.8633847036,-125050.7480534651,0.1291946137769835,2.0405125052266526,1.8879709697195808,2.0221462168676063,1.8879709697195808,2.05206798555108,1.8879709697195808,24.573693117270995,12.112001617430828,11.412425987911437,5.681724302003808,17.112321161460038,8.39476520265426,3191.254893,26.18849112208889,53.09844026664246,1.8879709697195808,2.0403459976256983,1.0416666666666667,0.4791666666666667,0.7291666666666666,2.25,-157.1309467325334,2.0403459976256983,13.327820367561754,3.3982716017168806,0.701830229864191,3.5810074078571486,5.191999130440967,3.492299218601896,68.2153792924648,3.0870115440845605,15.293750402976663,3.4412036171058764,22.308727259153105,3.4310205445131183,-72.67200970458498,2.0405125052266526,10.523808911948645,3.4700960233649503,-34.09034581202284,2.0221462168676063,-50.36859121592556,2.0520679855510804
25,167,30.0,0.75,0.1667,0.0833,4.9172,4.917,13.3449,89.9883,90.0127,120.0015,0.0916,4.0371,279.4199810967155,2,9,1,18,242.8338474,139.446,114.818,287.9892,2.809702600073752,117,62,49,144,372,54385.195295241065,5948.1185118825815,-25637.96124174498,0.2034762159089553,1.9845322722186896,1.9136452970271192,1.9853468809865589,1.9135821216378552,1.972781073109929,1.9138846671904737,5.043291511752159,2.545684226312104,14.11536222437285,7.121981988554992,1.0147016314450972,0.5152685459773816,785.0870474,10.182934760844477,20.17335536757011,1.9135821216378552,1.9845149384007603,0.5555555555555556,1.5555555555555556,0.1111111111111111,2.2222222222222223,-61.097608565066864,1.9845149384007603,0.0,inf,12.043339765373435,3.312807788495962,0.0,inf,23.135508018126906,2.9743779721525496,7.8502439342850865,3.4567430019073493,1.082936121910394,2.8828353223856995,-15.274105357872624,1.9845322722186896,3.9889983282186106,3.441136718511708,-42.73189193132996,1.9853468809865595,-3.09161127586429,1.972781073109929
26,33,40.0,0.875,0.0,0.125,4.987,8.5565,9.1881,90.0055,90.0021,90.001,0.1783,3.3353,392.06785241107656,0,14,2,24,377.7415404,0.0,229.636,383.9856,2.528549929058128,182,0,98,192,472,54255.494133176384,10724.834475725987,-29891.04506731,0.17868607721758092,inf,inf,1.961937848112434,1.7748161871850747,1.921833007171652,1.8109577955056664,0.0,0.0,25.60580317768715,13.172527059070095,2.085725486452945,1.0898588493452521,991.3631404,14.262385908415348,27.69152866414009,1.7748161871850747,1.9589671191538576,0.0,2.083333333333333,0.16666666666666666,2.25,-85.57431545049205,1.958967119153858,0.0,inf,26.741812081749767,3.245553322640492,0.0,inf,37.24710041330096,3.0166237321935063,0.0,inf,0.0,inf,0.0,inf,5.4327494087657096,3.1617874669816906,-79.03516235442055,1.961937848112434,-6.539153096071512,1.9218330071716516
27,227,40.0,0.4375,0.25,0.3125,6.0436,6.0427,14.2577,90.0159,90.0033,120.0023,0.3518,0.976,450.9171531058986,4,7,5,24,188.8707702,278.892,574.09,383.9856,3.162085009139449,91,124,245,192,652,153031.12190385014,23122.15677840053,-60861.432511541476,0.16277974592050268,2.057819451999912,1.9166493022028004,2.0536527775029887,1.853494943477791,1.9994984393511623,1.853494943477792,6.805951825674428,3.310008303180908,11.207631649285496,5.465625590099949,8.518408417469026,4.276773655938575,1425.8383702,13.052407549219431,26.53199189242895,1.853494943477791,2.0376844385099493,0.5833333333333334,0.9583333333333334,0.7083333333333334,2.25,-78.31444529531659,2.0376844385099497,1.7666290209926885,3.2282718685001486,3.4344372121091067,3.2646661999416207,3.6607910808141635,3.5066667077655977,30.226770496973447,2.9600218840446844,8.699263404025865,3.2514915181510182,4.988394206338097,3.3176588953488206,-19.86004981908545,2.057819451999912,10.147330577385807,3.294714234722817,-32.79375354059969,2.0536527775029887,-25.660641935631446,1.9994984393511623
